fueltype,mon,jd,M,jd_min,lat,lon,elev,ffmc,ws,waz,bui,ps,saz,pc,pdf,gfl,cur,time,pattern,ftypeN
NF,,,,,51.621244,-115.608378,2257.0,,,,,,359.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2264.0,,,,,,349.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2284.0,,,,,,340.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2314.0,,,,,,334.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2341.0,,,,,,328.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2364.0,,,,,,315.0,,,,,20,,101
O1a,,,,,51.621244,-115.608378,2374.0,,,,,,272.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2372.0,,,,,,207.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2372.0,,,,,,142.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2338.0,,,,,,111.0,,,0.35,60.0,20,,31
NF,,,,,51.621244,-115.608378,2248.0,,,,,,108.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2187.0,,,,,,120.0,,,,,20,,101
O1a,,,,,51.621244,-115.608378,2176.0,,,,,,142.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2161.0,,,,,,123.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2133.0,,,,,,116.0,,,0.35,60.0,20,,31
C2,,,,,51.621244,-115.608378,2118.0,,,,,,113.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,2113.0,,,,,,86.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,2091.0,,,,,,83.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,2074.0,,,,,,164.0,,,0.8,,20,,2
O1a,,,,,51.621244,-115.608378,2086.0,,,,,,210.0,,,0.35,60.0,20,,31
C2,,,,,51.621244,-115.608378,2107.0,,,,,,213.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,2112.0,,,,,,209.0,,,0.8,,20,,2
O1a,,,,,51.621244,-115.608378,2375.0,,,,,,185.0,,,0.35,60.0,20,,31
